con,locus,end,L,sym,cid,orth,rna
128unitig_0,139.178.peg.568,580060,2144,,75,1,
128unitig_0,139.178.peg.569,581282,1157,,373,1,
128unitig_0,139.178.peg.57,40488,851,,641,1,
128unitig_0,139.178.peg.570,583056,1772,,134,1,
128unitig_0,139.178.peg.571,583471,374,,1277,1,
128unitig_0,139.178.peg.572,583830,-689,,864,1,
128unitig_0,139.178.peg.573,585795,1064,,437,1,
128unitig_0,139.178.peg.574,586663,806,,703,1,
128unitig_0,139.178.peg.575,587521,851,,661,1,
128unitig_0,139.178.peg.576,589306,1601,,162,1,
128unitig_0,139.178.peg.577,589323,-524,,1085,1,
128unitig_0,139.178.peg.578,590574,587,,873,1,
128unitig_0,139.178.peg.579,591991,1169,,355,1,
128unitig_0,139.178.peg.58,40572,-671,,888,1,
128unitig_0,139.178.peg.580,595565,3443,,16,1,
128unitig_0,139.178.peg.581,596155,578,,1005,1,
128unitig_0,139.178.peg.582,598225,2060,,85,1,
128unitig_0,139.178.peg.583,598222,-788,,658,1,
128unitig_0,139.178.peg.584,600478,1349,,277,1,
128unitig_0,139.178.peg.585,601978,1334,,237,1,
128unitig_0,139.178.peg.586,603363,1355,,273,1,
128unitig_0,139.178.peg.587,603360,-1043,,464,1,
128unitig_0,139.178.peg.588,604413,-2204,,70,1,
128unitig_0,139.178.peg.589,607569,797,,733,1,
128unitig_0,139.178.peg.59,41254,-1040,,466,1,
128unitig_0,139.178.peg.590,608712,1058,,425,1,
128unitig_0,139.178.peg.591,608695,-845,,662,1,
128unitig_0,139.178.peg.592,609577,-1250,,245,1,
128unitig_0,139.178.peg.593,611656,713,,838,1,
128unitig_0,139.178.peg.594,613619,1937,,99,1,
128unitig_0,139.178.peg.595,613648,-1757,,139,1,
128unitig_0,139.178.peg.596,615398,-626,,941,1,
128unitig_0,139.178.peg.597,616046,-2147,,67,1,
128unitig_0,139.178.peg.598,620669,2207,,65,1,
128unitig_0,139.178.peg.599,620679,-908,,566,1,
128unitig_0,139.178.peg.60,42291,-401,,1237,1,
128unitig_0,139.178.peg.600,623081,1442,,210,1,
128unitig_0,139.178.peg.601,624641,1556,,186,1,
128unitig_0,139.178.peg.602,625894,1253,,324,1,
128unitig_0,139.178.peg.603,626672,752,,784,1,
128unitig_0,139.178.peg.604,626726,-1856,,117,1,
128unitig_0,139.178.peg.605,628830,-1502,,197,1,
128unitig_0,139.178.peg.606,631620,1217,,338,1,
128unitig_0,139.178.peg.607,632116,491,,1095,1,
128unitig_0,139.178.peg.608,634098,1979,,97,1,
128unitig_0,139.178.peg.609,635645,1430,,230,1,
128unitig_0,139.178.peg.61,42718,-2447,,49,1,
128unitig_0,139.178.peg.610,637590,1364,,266,1,
128unitig_0,139.178.peg.611,638189,593,,984,1,
128unitig_0,139.178.peg.612,639505,1292,,295,1,
128unitig_0,139.178.peg.613,641882,2408,,52,1,
128unitig_0,139.178.peg.614,642074,152,,1836,1,
128unitig_0,139.178.peg.615,642133,-626,,944,1,
128unitig_0,139.178.peg.616,642928,-1355,,259,1,
128unitig_0,139.178.peg.617,644773,368,,1264,1,
128unitig_0,139.178.peg.618,644770,-464,,1157,1,
128unitig_0,139.178.peg.619,646314,962,,514,1,
128unitig_0,139.178.peg.62,45802,545,,1074,1,
128unitig_0,139.178.peg.620,646292,-1667,,161,1,
128unitig_0,139.178.peg.621,648740,554,,1056,1,
128unitig_0,139.178.peg.622,648803,-1217,,320,1,
128unitig_0,139.178.peg.623,650046,-3377,,20,1,
128unitig_0,139.178.peg.624,654482,962,,549,1,
128unitig_0,139.178.peg.625,656535,2093,,79,1,
128unitig_0,139.178.peg.626,656631,-545,,1069,1,
128unitig_0,139.178.peg.627,657179,-1271,,314,1,
128unitig_0,139.178.peg.628,659256,725,,816,1,
128unitig_0,139.178.peg.629,659277,-1871,,116,1,
128unitig_0,139.178.peg.63,45822,-368,,1284,1,
128unitig_0,139.178.peg.630,662162,923,,593,1,
128unitig_0,139.178.peg.631,662236,-314,,1345,1,
128unitig_0,139.178.peg.632,662812,-1832,,124,1,
128unitig_0,139.178.peg.633,664641,-3509,,15,1,
128unitig_0,139.178.peg.634,668156,-3239,,24,1,
128unitig_0,139.178.peg.635,671399,-1445,,215,1,
128unitig_0,139.178.peg.636,674410,1436,,229,1,
128unitig_0,139.178.peg.637,676010,1343,,275,1,
128unitig_0,139.178.peg.638,677488,1388,,252,1,
128unitig_0,139.178.peg.639,677520,-1046,,461,1,
128unitig_0,139.178.peg.640,678587,-791,,743,1,
128unitig_0,139.178.peg.641,679382,-809,,705,1,
128unitig_0,139.178.peg.642,680191,-1043,,475,1,
128unitig_0,139.178.peg.643,681313,-839,,600,1,
128unitig_0,139.178.peg.644,683005,698,,770,1,
128unitig_0,139.178.peg.645,684595,1544,,190,1,
128unitig_0,139.178.peg.646,684626,-983,,499,1,
128unitig_0,139.178.peg.647,685606,-530,,1087,1,
128unitig_0,139.178.peg.648,686236,-1688,,154,1,
128unitig_0,139.178.peg.649,689756,1637,,163,1,
128unitig_0,139.178.peg.65,47652,674,,842,1,
128unitig_0,139.178.peg.650,690118,296,,1382,1,
128unitig_0,139.178.peg.651,690428,308,,1327,1,
128unitig_0,139.178.peg.652,692274,1760,,141,1,
128unitig_0,139.178.peg.653,693157,899,,610,1,
128unitig_0,139.178.peg.654,694325,1142,,376,1,
128unitig_0,139.178.peg.655,694322,-830,,674,1,
128unitig_0,139.178.peg.656,696384,1133,,380,1,
128unitig_0,139.178.peg.657,696371,-686,,820,1,
128unitig_0,139.178.peg.658,697952,746,,788,1,
128unitig_0,139.178.peg.659,698020,-1565,,177,1,
128unitig_0,139.178.peg.66,48417,701,,830,1,
128unitig_0,139.178.peg.660,699672,-872,,640,1,
128unitig_0,139.178.peg.661,701005,356,,1266,1,
128unitig_0,139.178.peg.662,701425,410,,1229,1,
128unitig_0,139.178.peg.663,701894,449,,1174,1,
128unitig_0,139.178.peg.664,701903,-683,,867,1,
128unitig_0,139.178.peg.665,703588,959,,558,1,
128unitig_0,139.178.peg.666,704579,1028,,501,1,
128unitig_0,139.178.peg.667,705120,551,,1060,1,
128unitig_0,139.178.peg.668,706223,1025,,391,1,
128unitig_0,139.178.peg.669,708885,2594,,42,1,
128unitig_0,139.178.peg.67,48414,-656,,851,1,
128unitig_0,139.178.peg.670,710292,1400,,242,1,
128unitig_0,139.178.peg.671,710789,485,,1136,1,
128unitig_0,139.178.peg.672,711269,440,,1181,1,
128unitig_0,139.178.peg.673,711310,-515,,1105,1,
128unitig_0,139.178.peg.674,711822,-1046,,467,1,
128unitig_0,139.178.peg.675,712862,-863,,650,1,
128unitig_0,139.178.peg.676,713722,-662,,877,1,
128unitig_0,139.178.peg.677,716237,1610,,175,1,
128unitig_0,139.178.peg.678,717389,1151,,377,1,
128unitig_0,139.178.peg.679,718287,926,,588,1,
128unitig_0,139.178.peg.68,49823,671,,891,1,
128unitig_0,139.178.peg.680,720703,2258,,64,1,
128unitig_0,139.178.peg.681,722635,1901,,105,1,
128unitig_0,139.178.peg.682,722678,-1067,,441,1,
128unitig_0,139.178.peg.683,725062,1223,,303,1,
128unitig_0,139.178.peg.684,726110,1064,,432,1,
128unitig_0,139.178.peg.685,727368,1268,,300,1,
128unitig_0,139.178.peg.686,728290,938,,580,1,
128unitig_0,139.178.peg.687,729234,953,,559,1,
128unitig_0,139.178.peg.688,730121,893,,619,1,
128unitig_0,139.178.peg.689,730247,-467,,1155,1,
128unitig_0,139.178.peg.69,49922,-362,,1289,1,
128unitig_0,139.178.peg.690,731335,536,,825,1,
128unitig_0,139.178.peg.691,733418,2009,,87,1,
128unitig_0,139.178.peg.693,734903,1208,,342,1,
128unitig_0,139.178.peg.694,736300,1334,,276,1,
128unitig_0,139.178.peg.695,736573,260,,1433,1,
128unitig_0,139.178.peg.696,736822,248,,1454,1,
128unitig_0,139.178.peg.697,737326,500,,1118,1,
128unitig_0,139.178.peg.698,738042,719,,827,1,
128unitig_0,139.178.peg.699,738385,365,,1288,1,
128unitig_0,139.178.peg.70,50300,-761,,722,1,
128unitig_0,139.178.peg.701,739297,539,,1077,1,
128unitig_0,139.178.peg.702,739790,491,,1122,1,
128unitig_0,139.178.peg.703,740036,182,,1658,1,
128unitig_0,139.178.peg.704,740302,242,,1432,1,
128unitig_0,139.178.peg.705,741039,737,,804,1,
128unitig_0,139.178.peg.706,741010,-1232,,299,1,
128unitig_0,139.178.peg.707,744130,1772,,132,1,
128unitig_0,139.178.peg.708,744459,323,,1342,1,
128unitig_0,139.178.peg.709,745947,1031,,488,1,
128unitig_0,139.178.peg.71,51063,-1181,,354,1,
128unitig_0,139.178.peg.710,747734,1781,,136,1,
128unitig_0,139.178.peg.711,749633,1895,,106,1,
128unitig_0,139.178.peg.712,750404,758,,763,1,
128unitig_0,139.178.peg.713,751774,968,,544,1,
128unitig_0,139.178.peg.714,752834,1049,,465,1,
128unitig_0,139.178.peg.715,753683,845,,677,1,
128unitig_0,139.178.peg.716,754165,482,,1141,1,
128unitig_0,139.178.peg.717,755964,1799,,28,1,
128unitig_0,139.178.peg.718,757285,1364,,5001,1,
128unitig_0,139.178.peg.719,759196,1745,,137,1,
128unitig_0,139.178.peg.72,52264,-1007,,516,1,
128unitig_0,139.178.peg.720,759830,629,,938,1,
128unitig_0,139.178.peg.721,761262,1445,,226,1,
128unitig_0,139.178.peg.722,761236,-533,,1088,1,
128unitig_0,139.178.peg.723,763188,1322,,260,1,
128unitig_0,139.178.peg.724,763976,782,,746,1,
128unitig_0,139.178.peg.725,764957,971,,531,1,
128unitig_0,139.178.peg.726,766331,1343,,268,1,
128unitig_0,139.178.peg.727,766348,-1331,,281,1,
128unitig_0,139.178.peg.728,767694,-1391,,239,1,
128unitig_0,139.178.peg.729,769161,-1592,,92,1,
128unitig_0,139.178.peg.73,53344,-1970,,96,1,
128unitig_0,139.178.peg.730,770776,-401,,5003,1,
128unitig_0,139.178.peg.731,771184,-2798,,29,1,
128unitig_0,139.178.peg.732,775076,785,,678,1,
128unitig_0,139.178.peg.733,775224,-1013,,506,1,
128unitig_0,139.178.peg.734,777131,788,,695,1,
128unitig_0,139.178.peg.735,778312,989,,504,1,
128unitig_0,139.178.peg.736,780943,2627,,40,1,
128unitig_0,139.178.peg.737,781044,-587,,986,1,
128unitig_0,139.178.peg.738,781710,-677,,872,1,
128unitig_0,139.178.peg.739,782534,-272,,1305,1,
128unitig_0,139.178.peg.74,55311,-779,,758,1,
128unitig_0,139.178.peg.740,784579,1631,,171,1,
128unitig_0,139.178.peg.741,786312,1697,,153,1,
128unitig_0,139.178.peg.742,788520,2102,,78,1,
128unitig_0,139.178.peg.743,789494,635,,886,1,
128unitig_0,139.178.peg.744,789503,-860,,653,1,
128unitig_0,139.178.peg.745,790363,-980,,541,1,
128unitig_0,139.178.peg.746,791350,-458,,1161,1,
128unitig_0,139.178.peg.747,793181,1274,,302,1,
128unitig_0,139.178.peg.748,793201,-194,,-1,,
128unitig_0,139.178.peg.749,793398,-1013,,449,1,
128unitig_0,139.178.peg.75,56091,-467,,1156,1,
128unitig_0,139.178.peg.750,794431,-1508,,204,1,
128unitig_0,139.178.peg.751,795944,-734,,807,1,
128unitig_0,139.178.peg.752,796675,-929,,587,1,
128unitig_0,139.178.peg.753,797613,-959,,557,1,
128unitig_0,139.178.peg.754,798764,-1067,,433,1,
128unitig_0,139.178.peg.755,800628,596,,987,1,
128unitig_0,139.178.peg.756,801334,659,,817,1,
128unitig_0,139.178.peg.757,801498,-857,,620,1,
128unitig_0,139.178.peg.758,802395,-329,,1325,1,
128unitig_0,139.178.peg.759,803722,887,,626,1,
128unitig_0,139.178.peg.76,56642,-353,,1308,1,
128unitig_0,139.178.peg.761,803971,-1358,,262,1,
128unitig_0,139.178.peg.762,805332,-1148,,370,1,
128unitig_0,139.178.peg.763,806477,-1046,,469,1,
128unitig_0,139.178.peg.764,807533,-488,,1127,1,
128unitig_0,139.178.peg.765,808018,-1091,,407,1,
128unitig_0,139.178.peg.766,809258,-794,,728,1,
128unitig_0,139.178.peg.767,810027,-1040,,478,1,
128unitig_0,139.178.peg.768,811064,-881,,594,1,
128unitig_0,139.178.peg.769,811996,-800,,721,1,
128unitig_0,139.178.peg.77,57785,716,,824,1,
128unitig_0,139.178.peg.770,812949,-344,,1318,1,
128unitig_0,139.178.peg.771,813277,-1007,,497,1,
128unitig_0,139.178.peg.772,814455,-434,,899,1,
128unitig_0,139.178.peg.773,815089,-797,,734,1,
128unitig_0,139.178.peg.774,815899,-890,,602,1,
128unitig_0,139.178.peg.775,817543,560,,1024,1,
128unitig_0,139.178.peg.776,818135,530,,1048,1,
128unitig_0,139.178.peg.777,818503,311,,1349,1,
128unitig_0,139.178.peg.778,818829,320,,1330,1,
128unitig_0,139.178.peg.779,819074,245,,1460,1,
128unitig_0,139.178.peg.78,57839,-1007,,446,1,
128unitig_0,139.178.peg.780,820115,986,,508,1,
128unitig_0,139.178.peg.781,820775,581,,996,1,
128unitig_0,139.178.peg.782,821956,1184,,351,1,
128unitig_0,139.178.peg.783,822281,350,,1303,1,
128unitig_0,139.178.peg.784,822690,293,,1385,1,
128unitig_0,139.178.peg.785,823398,548,,1062,1,
128unitig_0,139.178.peg.786,823969,566,,1030,1,
128unitig_0,139.178.peg.787,825291,1322,,286,1,
128unitig_0,139.178.peg.788,827207,1919,,101,1,
128unitig_0,139.178.peg.789,828699,1481,,208,1,
128unitig_0,139.178.peg.79,58910,-938,,565,1,
128unitig_0,139.178.peg.790,829908,1103,,363,1,
128unitig_0,139.178.peg.791,829905,-623,,940,1,
128unitig_0,139.178.peg.792,830542,-608,,764,1,
128unitig_0,139.178.peg.793,835630,4397,,11,1,
128unitig_0,139.178.peg.794,838113,2465,,47,1,
128unitig_0,139.178.peg.795,838667,533,,1052,1,
128unitig_0,139.178.peg.796,841419,2588,,43,1,
128unitig_0,139.178.peg.797,842038,617,,958,1,
128unitig_0,139.178.peg.798,842576,437,,1133,1,
128unitig_0,139.178.peg.799,844038,1448,,209,1,
128unitig_0,139.178.peg.80,59845,-497,,1046,1,
128unitig_0,139.178.peg.800,846659,2618,,41,1,
128unitig_0,139.178.peg.801,847045,362,,1253,1,
128unitig_0,139.178.peg.802,847896,848,,648,1,
128unitig_0,139.178.peg.803,848361,266,,1323,1,
128unitig_0,139.178.peg.804,850544,2168,,72,1,
128unitig_0,139.178.peg.805,852071,1520,,192,1,
128unitig_0,139.178.peg.806,853335,1289,,304,1,
128unitig_0,139.178.peg.807,854399,1067,,344,1,
128unitig_0,139.178.peg.808,855553,1127,,389,1,
128unitig_0,139.178.peg.809,857066,1520,,195,1,
128unitig_0,139.178.peg.81,60377,-689,,852,1,
128unitig_0,139.178.peg.810,858472,1409,,232,1,
128unitig_0,139.178.peg.811,858496,-1172,,319,1,
128unitig_0,139.178.peg.813,861332,1334,,235,1,
128unitig_0,139.178.peg.814,862289,947,,520,1,
128unitig_0,139.178.peg.815,863205,947,,564,1,
128unitig_0,139.178.peg.816,864601,1406,,218,1,
128unitig_0,139.178.peg.817,865478,866,,645,1,
128unitig_0,139.178.peg.818,866017,542,,1075,1,
128unitig_0,139.178.peg.819,866253,200,,1488,1,
128unitig_0,139.178.peg.82,61063,-1778,,138,1,
128unitig_0,139.178.peg.820,867160,920,,582,1,
128unitig_0,139.178.peg.821,867302,-371,,1287,1,
128unitig_0,139.178.peg.822,868299,545,,1057,1,
128unitig_0,139.178.peg.823,868292,-782,,719,1,
128unitig_0,139.178.peg.824,869067,-515,,1096,1,
128unitig_0,139.178.peg.825,869671,-2471,,48,1,
128unitig_0,139.178.peg.826,872145,-2546,,44,1,
128unitig_0,139.178.peg.827,876007,1241,,330,1,
128unitig_0,139.178.peg.828,878840,2852,,30,1,
128unitig_0,139.178.peg.829,879809,935,,567,1,
128unitig_0,139.178.peg.83,63837,881,,604,1,
128unitig_0,139.178.peg.830,879826,-824,,680,1,
128unitig_0,139.178.peg.831,880644,-3128,,26,1,
128unitig_0,139.178.peg.832,883787,-2219,,66,1,
128unitig_0,139.178.peg.833,886029,-1712,,147,1,
128unitig_0,139.178.peg.834,889880,2006,,93,1,
128unitig_0,139.178.peg.835,892736,2852,,33,1,
128unitig_0,139.178.peg.836,896131,3440,,19,1,
128unitig_0,139.178.peg.837,896141,-545,,1051,1,
128unitig_0,139.178.peg.838,896655,-599,,978,1,
128unitig_0,139.178.peg.839,897263,-1616,,174,1,
128unitig_0,139.178.peg.84,65085,1238,,332,1,
128unitig_0,139.178.peg.840,900290,1232,,305,1,
128unitig_0,139.178.peg.841,901341,983,,468,1,
128unitig_0,139.178.peg.842,902817,1424,,228,1,
128unitig_0,139.178.peg.843,903488,-971,,547,1,
128unitig_0,139.178.peg.845,906658,788,,3,30,
128unitig_0,139.178.peg.85,65561,461,,1152,1,
128unitig_0,139.178.peg.86,67049,1472,,214,1,
128unitig_0,139.178.peg.87,69381,2324,,58,1,
128unitig_0,139.178.peg.88,69938,560,,1023,1,
128unitig_0,139.178.peg.89,71031,1046,,435,1,
128unitig_0,139.178.peg.90,72422,1409,,238,1,
128unitig_0,139.178.peg.91,73304,845,,665,1,
128unitig_0,139.178.peg.92,74329,1028,,452,1,
128unitig_0,139.178.peg.93,75583,1253,,325,1,
128unitig_0,139.178.peg.94,76265,680,,847,1,
128unitig_0,139.178.peg.95,77512,1250,,326,1,
128unitig_0,139.178.peg.96,77522,-1298,,298,1,
128unitig_0,139.178.peg.97,78813,-350,,1307,1,
128unitig_0,139.178.peg.98,80584,1268,,315,1,
128unitig_0,139.178.peg.99,81219,425,,1205,1,
123_2,139.184.peg.10,5497,653,,418,1,
123_2,139.184.peg.12,5851,-629,,930,1,
123_2,139.184.peg.13,7677,1037,,477,1,
123_2,139.184.peg.14,8728,929,,590,1,
123_2,139.184.peg.15,9262,518,,2,26,
123_2,139.184.peg.16,9999,761,,3,3,
123_2,139.184.peg.17,10615,548,,4,20,
123_2,139.184.peg.18,10883,-497,,1109,1,
123_2,139.184.peg.19,13557,1592,,159,2,
123_2,139.184.peg.20,13844,-1214,,225,1,
123_2,139.184.peg.21,15083,-1586,,181,1,
123_2,139.184.peg.22,17488,635,,923,1,
123_2,139.184.peg.23,17989,-1304,,251,1,
123_2,139.184.peg.24,19403,-1355,,251,2,
123_2,139.184.peg.25,20830,-506,,1115,1,
123_2,139.184.peg.26,21311,-512,,1111,1,
123_2,139.184.peg.27,22214,344,,853,1,
123_2,139.184.peg.28,22360,152,,853,,
123_2,139.184.peg.29,22573,-551,,1059,1,
123_2,139.184.peg.3,534,-218,,1132,1,
123_2,139.184.peg.30,24121,896,,321,1,
123_2,139.184.peg.31,24467,377,,321,,
123_2,139.184.peg.32,25184,392,,172,,
123_2,139.184.peg.33,25732,587,,172,,
123_2,139.184.peg.34,26391,662,,172,1,
123_2,139.184.peg.4,878,-542,,271,1,
123_2,139.184.peg.5,1450,-368,,271,,
123_2,139.184.peg.6,1884,-296,,271,,
123_2,139.184.peg.7,2540,-341,,282,1,
123_2,139.184.peg.8,3089,-284,,282,,
123_2,139.184.peg.9,4471,416,,1314,1,
124_2,139.186.peg.1,321,320,,1399,1,
124_2,139.186.peg.10,8763,929,,590,1,
124_2,139.186.peg.11,9297,518,,2,26,
124_2,139.186.peg.12,10034,761,,3,3,
124_2,139.186.peg.13,10650,548,,4,20,
124_2,139.186.peg.16,13596,1592,,159,2,
124_2,139.186.peg.17,13883,-1214,,225,1,
124_2,139.186.peg.18,15122,-1538,,181,1,
124_2,139.186.peg.19,17523,629,,923,1,
124_2,139.186.peg.2,305,-443,,1132,1,
124_2,139.186.peg.20,17962,-1355,,251,1,
124_2,139.186.peg.21,19427,-1355,,251,2,
124_2,139.186.peg.22,20854,-506,,1115,1,
124_2,139.186.peg.23,21335,-512,,1111,1,
124_2,139.186.peg.24,22589,695,,853,1,
124_2,139.186.peg.25,22599,-551,,1059,1,
124_2,139.186.peg.26,24495,1244,,321,1,
124_2,139.186.peg.27,26449,1628,,172,1,
124_2,139.186.peg.3,835,-1349,,271,1,
124_2,139.186.peg.4,2474,-1322,,282,1,
124_2,139.186.peg.5,4429,347,,1314,1,
124_2,139.186.peg.6,4755,317,,1339,1,
124_2,139.186.peg.7,5864,1097,,418,1,
124_2,139.186.peg.8,5886,-629,,930,1,
124_2,139.186.peg.9,7712,1037,,477,1,
125_2,139.187.peg.1,321,320,,1399,1,
125_2,139.187.peg.10,8762,929,,590,1,
125_2,139.187.peg.11,9296,518,,2,26,
125_2,139.187.peg.12,10033,761,,3,3,
125_2,139.187.peg.13,10649,548,,4,20,
125_2,139.187.peg.14,10917,-497,,1109,1,
125_2,139.187.peg.15,13202,1193,,159,2,
125_2,139.187.peg.16,13600,413,,159,,
125_2,139.187.peg.17,13887,-1214,,225,1,
125_2,139.187.peg.18,15126,-1538,,181,1,
125_2,139.187.peg.19,17530,632,,923,1,
125_2,139.187.peg.2,305,-443,,1132,1,
125_2,139.187.peg.20,17966,-1355,,251,1,
125_2,139.187.peg.21,19431,-1355,,251,2,
125_2,139.187.peg.22,20858,-506,,1115,1,
125_2,139.187.peg.23,21339,-512,,1111,1,
125_2,139.187.peg.24,22593,695,,853,1,
125_2,139.187.peg.25,22603,-551,,1059,1,
125_2,139.187.peg.26,24499,1244,,321,1,
125_2,139.187.peg.27,26453,1628,,172,1,
125_2,139.187.peg.3,834,-1349,,271,1,
125_2,139.187.peg.4,2473,-1322,,282,1,
125_2,139.187.peg.5,4428,347,,1314,1,
125_2,139.187.peg.6,4754,317,,1339,1,
125_2,139.187.peg.7,5863,1097,,418,1,
125_2,139.187.peg.8,5885,-629,,930,1,
125_2,139.187.peg.9,7711,1037,,477,1,
126_2,139.188.peg.1,321,320,,1399,1,
126_2,139.188.peg.10,6288,-221,,930,,
126_2,139.188.peg.11,7706,1037,,477,1,
126_2,139.188.peg.12,8757,929,,590,1,
126_2,139.188.peg.13,9291,518,,2,26,
126_2,139.188.peg.14,10028,761,,3,3,
126_2,139.188.peg.15,10644,548,,4,20,
126_2,139.188.peg.16,10912,-497,,1109,1,
126_2,139.188.peg.18,13598,1592,,159,2,
126_2,139.188.peg.19,13885,-1214,,225,1,
126_2,139.188.peg.2,305,-443,,1132,1,
126_2,139.188.peg.20,15124,-1538,,181,1,
126_2,139.188.peg.21,17480,638,,923,1,
126_2,139.188.peg.22,17914,-1355,,251,1,
126_2,139.188.peg.23,19379,-1355,,251,2,
126_2,139.188.peg.24,20806,-506,,1115,1,
126_2,139.188.peg.25,21287,-512,,1111,1,
126_2,139.188.peg.26,22541,695,,853,1,
126_2,139.188.peg.27,22551,-551,,1059,1,
126_2,139.188.peg.28,24447,1244,,321,1,
126_2,139.188.peg.29,26401,1628,,172,1,
126_2,139.188.peg.3,834,-1349,,271,1,
126_2,139.188.peg.4,2473,-1322,,282,1,
126_2,139.188.peg.5,4427,347,,1314,1,
126_2,139.188.peg.6,4753,317,,1339,1,
126_2,139.188.peg.7,5430,665,,418,1,
126_2,139.188.peg.8,5821,203,,418,,
126_2,139.188.peg.9,5881,-383,,930,1,
127_2,139.189.peg.1,321,320,,1399,1,
127_2,139.189.peg.10,7762,203,,477,,
127_2,139.189.peg.11,8007,161,,590,1,
127_2,139.189.peg.13,9269,206,,2,26,
127_2,139.189.peg.14,10005,710,,3,3,
127_2,139.189.peg.15,10621,548,,4,20,
127_2,139.189.peg.16,10889,-497,,1109,1,
127_2,139.189.peg.17,13575,1592,,159,2,
127_2,139.189.peg.18,13862,-1214,,225,1,
127_2,139.189.peg.19,15101,-1538,,181,1,
127_2,139.189.peg.2,305,-443,,1132,1,
127_2,139.189.peg.20,17457,638,,923,1,
127_2,139.189.peg.21,17891,-1355,,251,1,
127_2,139.189.peg.22,19356,-1355,,251,2,
127_2,139.189.peg.23,20783,-506,,1115,1,
127_2,139.189.peg.24,21264,-512,,1111,1,
127_2,139.189.peg.25,22518,695,,853,1,
127_2,139.189.peg.26,22528,-551,,1059,1,
127_2,139.189.peg.27,24424,1244,,321,1,
127_2,139.189.peg.28,26378,1628,,172,1,
127_2,139.189.peg.3,834,-1349,,271,1,
127_2,139.189.peg.4,2473,-1322,,282,1,
127_2,139.189.peg.5,4428,347,,1314,1,
127_2,139.189.peg.6,4754,317,,1339,1,
127_2,139.189.peg.7,5863,1097,,418,1,
127_2,139.189.peg.8,5885,-629,,930,1,
127_2,139.189.peg.9,6913,239,,477,1,
128_2,139.191.peg.1,321,320,,1399,1,
128_2,139.191.peg.10,8759,929,,590,1,
128_2,139.191.peg.11,9293,518,,2,26,
128_2,139.191.peg.12,10030,761,,3,3,
128_2,139.191.peg.13,10646,548,,4,20,
128_2,139.191.peg.14,10917,-497,,1109,1,
128_2,139.191.peg.15,11547,-167,,-1,,
128_2,139.191.peg.16,13602,1592,,159,2,
128_2,139.191.peg.17,13889,-1214,,225,1,
128_2,139.191.peg.18,15128,-1586,,181,1,
128_2,139.191.peg.19,17533,635,,923,1,
128_2,139.191.peg.2,305,-443,,1132,1,
128_2,139.191.peg.21,17978,-1355,,251,1,
128_2,139.191.peg.22,19443,-1355,,251,2,
128_2,139.191.peg.23,20870,-506,,1115,1,
128_2,139.191.peg.24,21351,-512,,1111,1,
128_2,139.191.peg.25,22407,497,,853,1,
128_2,139.191.peg.27,22839,-323,,1059,1,
128_2,139.191.peg.28,23468,206,,321,1,
128_2,139.191.peg.29,23752,176,,-1,,
128_2,139.191.peg.3,834,-1349,,271,1,
128_2,139.191.peg.31,25644,686,,172,,
128_2,139.191.peg.32,26423,788,,172,1,
128_2,139.191.peg.4,2471,-1322,,282,1,
128_2,139.191.peg.5,4426,347,,1314,1,
128_2,139.191.peg.6,4752,317,,1339,1,
128_2,139.191.peg.7,5861,1097,,418,1,
128_2,139.191.peg.8,5883,-587,,930,1,
128_2,139.191.peg.9,7708,1037,,477,1,
123_3,139.260.peg.1,54513,797,,706,1,
123_3,139.260.peg.10,46430,-806,,608,2,
123_3,139.260.peg.11,46218,179,,364,1,
123_3,139.260.peg.12,44666,-1235,,313,1,
123_3,139.260.peg.13,43639,-848,,636,1,
123_3,139.260.peg.14,42566,-908,,473,1,
123_3,139.260.peg.15,42415,206,,1551,1,
123_3,139.260.peg.16,41338,-623,,880,1,
123_3,139.260.peg.17,40154,-833,,673,1,
123_3,139.260.peg.18,39815,-239,,1465,1,
123_3,139.260.peg.19,38103,-1244,,316,1,
123_3,139.260.peg.2,53489,773,,646,1,
123_3,139.260.peg.20,38064,569,,1028,1,
123_3,139.260.peg.21,37505,929,,574,1,
123_3,139.260.peg.22,36488,275,,1410,1,
123_3,139.260.peg.23,36183,275,,1408,1,
123_3,139.260.peg.24,35787,845,,575,1,
123_3,139.260.peg.25,34902,563,,1039,1,
123_3,139.260.peg.26,34320,1397,,234,1,
123_3,139.260.peg.27,32914,218,,1514,1,
123_3,139.260.peg.28,32703,488,,1128,1,
123_3,139.260.peg.29,32156,422,,1214,1,
123_3,139.260.peg.3,51297,-890,,623,1,
123_3,139.260.peg.30,31734,1070,,443,1,
123_3,139.260.peg.31,30587,539,,1082,1,
123_3,139.260.peg.32,30026,317,,1281,1,
123_3,139.260.peg.33,29712,374,,1257,1,
123_3,139.260.peg.34,29341,452,,1154,1,
123_3,139.260.peg.35,28885,917,,571,1,
123_3,139.260.peg.36,27952,608,,323,1,
123_3,139.260.peg.37,27257,587,,979,1,
123_3,139.260.peg.38,26658,1241,,294,1,
123_3,139.260.peg.39,25067,605,,893,1,
123_3,139.260.peg.4,50864,-224,,730,1,
123_3,139.260.peg.40,24379,632,,883,1,
123_3,139.260.peg.41,21657,-1586,,159,1,
123_3,139.260.peg.42,21599,539,,1084,1,
123_3,139.260.peg.43,20885,194,,5054,1,
123_3,139.260.peg.44,20083,1352,,263,1,
